s_id,assay_val,EPDDI,LPDDI
2,2.235294118,3000,29
5,1.265625,181,29
7,1.186440678,179,29
8,NA,NA,NA
9,0.960784314,425,29
10,0.807017544,278,29
12,0.824561404,520,29
13,1.314814815,128,29
14,1.92,110,29
16,0,29,25
17,1.803571429,198,29
19,NA,NA,NA
20,2.345454545,620,29
23,1.803571429,311,29
26,NA,NA,NA
27,1.610169492,77,29
28,NA,NA,NA
31,2.209677419,379,29
33,1.86440678,NA,29
34,1.31372549,124,29
35,1.2,354,30
37,1.849056604,315,29
38,0.763636364,28,29
39,1.384615385,10,29
40,1.303571429,NA,29
41,1.040816327,NA,29
43,2.035087719,115,29
44,1.959183673,203,29
45,1.653061224,NA,29
47,1.685185185,64,29
49,0.440677966,111,29
50,2.22,1194,29
51,NA,NA,NA
52,NA,NA,NA
53,2.058823529,280,29
55,3.145833333,NA,29
58,1.660714286,NA,29
59,1.363636364,207,31
60,2.481481481,5,29
61,NA,NA,NA
62,1.872340426,NA,29
63,NA,NA,NA
64,2.036363636,400,29
65,1.945454545,358,29
67,NA,NA,NA
68,1.333333333,183,29
70,1.979166667,367,29
71,2.022222222,NA,29
72,NA,NA,NA
73,NA,NA,NA
74,0,942,NA
78,NA,NA,NA
79,1.980769231,326,29
80,1.244444444,277,29
81,1.893617021,375,29
82,1.807692308,NA,29
83,2.730769231,NA,29
84,1.8,NA,29
85,NA,NA,NA
86,2,144,29
87,1,333,29
89,0.411764706,51,29
90,2.387755102,538,29
93,NA,NA,NA
95,2.035087719,NA,29
120,NA,NA,NA
227,NA,NA,NA
230,1.909090909,94,29
232,NA,NA,NA
240,1.58490566,103,29
252,1.716981132,NA,29
256,2.120689655,730,29
261,1.659090909,379,29
263,0.887096774,238,29
277,NA,NA,NA
278,2.14,548,29
280,0.895833333,372,29
289,2.320754717,1864,29
293,2.592592593,745,29
297,2.166666667,466,29
300,1.06,132,29
302,NA,NA,NA
305,NA,NA,NA
306,NA,NA,NA
310,NA,NA,NA
312,NA,NA,NA
317,1.531914894,812,29
318,NA,NA,NA
321,1.385964912,116,29
323,2.285714286,576,29
326,3.163265306,NA,29
339,NA,NA,NA
345,2.4375,838,29
353,2.314814815,228,29
356,1.509803922,322,29
357,2.094339623,339,29
358,NA,NA,NA
363,1.2,NA,29
367,2.176470588,1946,29
372,2.528301887,373,29
373,1.980392157,194,29
379,1.733333333,97,29
382,2.166666667,195,29
391,2.088888889,NA,29
395,1.469387755,737,29
396,0.82,5,29
397,1,374,29
399,0.87755102,32,29
403,NA,NA,NA
407,0.236363636,28,29
408,0.565217391,296,31
422,1.891304348,1329,29
425,2.673076923,NA,29
428,NA,NA,NA
431,NA,NA,NA
432,NA,NA,NA
455,1.66,128,29
455,1.93877551,128,29
462,NA,NA,NA
465,1.787234043,445,29
466,2.153846154,415,29
469,2.20754717,NA,29
470,1.956521739,NA,29
473,1.407407407,NA,29
480,2.245283019,255,29
481,1.784313725,194,29
483,0.528301887,680,29
490,NA,NA,NA
491,NA,NA,NA
504,2.2,NA,29
507,1.292682927,608,29
509,1.132075472,183,29
513,1.632653061,179,29
513,1.982758621,179,29
514,2.42,NA,29
517,1.897959184,NA,29
518,NA,NA,NA
520,1.777777778,373,29
521,2.020408163,406,29
522,NA,NA,NA
523,2.553191489,408,29
525,2.545454545,NA,29
527,1.590909091,72,29
532,0.98,145,29
539,0.090909091,140,29
542,2.219512195,115,29
